Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S136,Male,16,78.22292712613206,73,PhD,No,No,50,Fail
S209,Female,21,87.52509623826568,74,PhD,Yes,No,55,Fail
S458,Female,27,92.07648301550216,99,Bachelors,No,No,65,Pass
S078,Female,37,98.65551746350522,63,Masters,No,Yes,70,Pass
S417,Male,30,84.15919282227406,77,Masters,Yes,No,61,Pass
S302,Male,24,89.38949443572463,95,High School,Yes,Yes,61,Pass
S009,Male,31,50.68359824134986,78,Masters,No,No,50,Fail
S044,Female,34,80.8631856048646,94,PhD,No,Yes,65,Pass
S331,Male,27,65.49684631343055,86,High School,Yes,No,55,Fail
S451,Female,35,69.83246865260271,58,High School,Yes,Yes,57,Fail
S059,Male,11,92.10457075093548,95,Masters,Yes,No,62,Pass
S315,Male,25,78.88159770457736,81,High School,No,No,59,Fail
S295,Female,18,66.60732063274695,64,High School,No,No,50,Fail
S141,Female,12,62.21765777323273,62,Masters,Yes,No,50,Fail
S274,Female,34,55.03973015079433,71,High School,Yes,Yes,50,Fail
S327,Male,32,93.0316008945367,78,Bachelors,Yes,Yes,77,Pass
S413,Female,24,71.08519672766408,81,Masters,Yes,Yes,56,Fail
S452,Female,37,97.70434682698166,55,High School,Yes,Yes,58,Fail
S386,Female,39,85.19730675692547,62,PhD,Yes,No,57,Fail
S458,Female,27,92.07648301550216,99,Bachelors,No,No,65,Pass
S079,Male,14,80.09676977704801,79,High School,No,Yes,55,Fail
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S384,Male,27,93.82220379376469,57,High School,Yes,No,57,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S071,Female,26,70.01502444551407,69,Bachelors,No,No,50,Fail
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S018,Female,32,68.89252746378932,66,PhD,Yes,Yes,58,Fail
S015,Female,27,79.25747661627359,67,Masters,Yes,Yes,50,Fail
S155,Male,39,50.91212407141805,52,Bachelors,No,Yes,50,Fail
S159,Male,14,78.799920890283,91,PhD,No,Yes,61,Pass
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S104,Female,28,96.20208795537167,83,High School,No,Yes,67,Pass
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S397,Female,37,93.05340099873608,81,Bachelors,No,Yes,61,Pass
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S112,Male,14,84.35827527016656,94,High School,Yes,Yes,59,Fail
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S463,Female,13,73.71186543501848,77,PhD,Yes,Yes,55,Fail
S060,Male,32,88.44588706576988,78,High School,No,Yes,56,Fail
S041,Male,37,81.96806784871211,67,Bachelors,No,Yes,56,Fail
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S216,Male,21,65.80982911482474,92,Bachelors,Yes,No,65,Pass
S430,Female,23,86.60922892295312,79,High School,Yes,No,55,Fail
S377,Female,35,70.3196154136761,85,PhD,No,No,59,Fail
S187,Female,22,60.08652311651179,78,Masters,No,Yes,50,Fail
S233,Female,35,66.64078929562422,78,Masters,Yes,Yes,54,Fail
S166,Male,16,85.92286354182768,83,PhD,Yes,No,55,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S419,Female,37,76.48308393275406,82,High School,No,Yes,63,Pass
S033,Female,19,90.81928676065311,88,PhD,Yes,Yes,56,Fail
S185,Male,33,77.43015589690766,94,Bachelors,Yes,Yes,58,Fail
S057,Female,37,89.82358878369386,84,High School,No,Yes,68,Pass
